,Datetime,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2020-10-08 10:34:18.244279,45.887054,293.8126,39.640896,299.5695,39.848484,287.6378,40.04061,309.59842,40.97565,276.44693,81.892944,328.82336,81.960785,258.7451,126.32859,349.05994,132.41101,247.19766,176.46983,341.67023,178.82117,250.20992,191.55336,319.1473,194.48383,269.67123,261.56335,309.87122,258.15894,271.90555,330.1213,303.41705,330.72208,286.55722
2,2020-10-08 10:34:20.038072,47.140255,294.68478,41.846684,300.14816,41.31941,289.32584,42.452084,309.9544,42.654865,279.23444,81.33646,331.08798,85.07852,260.59045,134.33025,341.3848,138.8592,249.70412,180.6413,342.98175,183.17801,247.40303,188.12018,317.41742,191.88002,273.21725,262.582,292.32913,262.03656,288.67755,329.80392,284.47058,332.82812,297.1961
3,2020-10-08 10:34:22.031721,44.84091,286.49557,38.464737,290.88882,39.02926,281.34525,39.676563,298.5205,39.82656,271.78867,81.77946,322.9266,86.060905,249.90344,136.90639,335.79623,138.56625,240.61684,182.92468,330.61383,183.84314,237.17647,187.42842,305.1452,191.08055,264.3945,261.43295,302.92966,260.20343,264.43213,327.6451,306.0253,327.81436,264.4954
4,2020-10-08 10:34:24.033626,47.618927,288.01804,40.77826,292.04565,41.866222,282.487,40.534058,300.0564,40.821384,273.14026,80.99939,323.94113,85.3333,250.66689,136.08813,336.787,138.56421,242.49355,183.0912,335.13516,182.66667,237.96078,185.77939,306.4585,190.64247,265.47153,262.53406,304.32736,259.7667,264.4554,328.98654,305.8913,328.06363,264.80246
5,2020-10-08 10:34:26.001194,44.24094,286.7016,37.99217,291.44022,38.36991,281.19702,39.7665,299.7649,40.012844,271.77332,80.864426,322.8013,86.60609,249.53822,134.83563,335.8443,138.75038,242.24606,182.01648,334.0038,183.05882,238.35294,185.50206,306.51227,191.1874,264.79596,261.4427,304.63852,259.5507,264.7192,328.15292,305.81345,327.80917,264.3913
6,2020-10-08 10:34:28.014611,45.555943,284.10815,39.952568,288.42053,39.865627,278.7345,39.926186,297.4499,40.489918,268.75058,80.70144,321.34583,86.24683,248.27391,134.00658,334.59613,140.14568,240.35283,179.76001,331.48618,183.05882,237.96078,186.08675,305.7785,190.41948,264.4362,260.52158,303.3418,259.56512,264.54272,328.03067,306.00922,327.62497,264.61542
7,2020-10-08 10:34:30.028198,47.44425,372.0174,41.127953,378.44287,40.792282,365.67813,41.05609,386.2302,39.958477,356.76764,82.46666,407.15717,86.196075,336.7843,134.0381,421.26227,139.93025,321.50516,183.95995,421.77457,180.06364,317.5144,190.4712,396.6578,188.95282,354.54214,257.49704,386.3564,258.50757,362.1509,328.62628,377.27374,328.89767,374.16522
8,2020-10-08 10:34:32.014162,46.85764,486.16513,42.166527,487.46487,42.339603,481.64783,45.960785,481.56863,44.872993,467.8112,86.057205,506.9013,86.7789,443.8779,136.35991,517.20465,144.14778,436.62927,179.26201,526.43494,187.20525,442.01218,187.50053,501.15662,190.74156,467.2606,256.30188,492.48798,258.93112,469.22263,321.0008,477.2045,321.78897,471.2306
9,2020-10-08 10:34:34.018792,57.299324,534.5277,51.489185,535.8573,51.52483,529.1748,54.37364,535.0164,55.107803,519.8999,92.37871,558.9811,91.28629,505.681,138.0375,569.6737,144.78432,499.05884,185.08772,575.9452,182.75006,501.3336,187.0002,550.4002,188.1836,521.7064,252.08418,541.7935,252.86057,514.9533,319.5755,537.2165,320.40488,510.02353
10,2020-10-08 10:34:36.033077,58.450115,533.8648,53.2,536.7726,52.82894,526.96313,54.288334,539.10004,54.238457,515.4231,93.6714,556.89764,92.07843,503.05884,138.95216,567.6525,146.06487,498.45752,184.55228,572.65936,184.0,501.177,187.0614,549.8999,187.97412,520.54095,254.26765,540.641,254.14453,514.6136,317.9746,537.2076,318.50937,509.7294
11,2020-10-08 10:34:38.052214,58.927475,533.3463,53.403202,535.927,53.224583,526.9493,54.7846,537.2167,55.1535,515.61206,93.725365,557.1485,92.47059,501.88235,139.88333,567.83594,145.97162,498.45056,184.09312,574.9636,182.99007,501.05017,187.00128,550.63617,188.2105,520.946,253.89642,541.2334,253.45515,515.90265,318.41928,537.8059,320.0422,510.44342
