,Datetime,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2020-10-08 10:40:56.212148,48.71201,295.82364,42.54211,301.48495,41.63916,289.7202,39.025665,311.42844,39.630116,279.91272,83.34194,331.18335,87.3972,260.7148,130.57544,344.48065,138.04347,248.39767,179.6813,346.63538,178.69556,246.10406,180.70941,322.58838,183.64738,274.1869,256.82657,314.29794,260.71667,271.90027,326.58823,291.52942,328.00253,274.70273
2,2020-10-08 10:40:58.040464,50.04876,303.55554,44.102448,307.9105,43.796146,299.23434,42.17678,316.46606,41.42553,292.54172,80.90999,338.86328,83.44262,267.89148,133.01758,350.50818,135.57509,252.72377,179.83641,352.84048,176.44536,246.2066,182.06067,322.55942,185.23546,276.60083,255.10269,315.153,255.0903,273.5417,329.33334,286.43137,329.33722,273.19983
3,2020-10-08 10:41:00.021125,46.832344,289.56866,40.35205,295.14795,41.471077,284.04486,40.970882,302.40097,41.789665,272.5225,82.387955,323.98267,85.0533,252.22768,137.29703,338.10376,135.08458,240.19806,179.24405,337.92426,178.8966,239.17853,183.45894,307.6935,187.37148,265.32278,258.6055,309.61435,256.37524,265.35825,327.546,312.15732,328.94116,279.37256
4,2020-10-08 10:41:02.040636,49.012806,289.493,42.143887,294.60434,43.133804,284.39252,42.577457,301.74387,43.02243,275.1267,82.01627,324.90332,84.60976,254.73654,137.53969,337.4816,136.0861,242.57721,181.0375,338.142,179.60907,240.19469,183.60136,308.268,187.09027,264.92377,257.73914,309.217,256.15442,267.70334,327.4688,311.1829,328.94116,283.68628
5,2020-10-08 10:41:04.041016,48.994526,289.43744,42.00169,294.51224,42.909092,284.40286,42.07331,301.62112,42.416367,274.9398,82.414276,324.6949,84.595184,253.11752,137.22339,337.32388,134.7876,241.95193,180.53638,338.3995,176.87163,240.61136,183.16373,308.19937,186.16873,265.0382,257.37683,308.7966,255.63907,267.4214,326.90546,311.67902,328.94116,283.29413
6,2020-10-08 10:41:06.013581,49.77466,288.4224,42.95944,293.98822,43.522625,283.36606,42.252922,301.85052,42.42753,273.43176,83.181595,324.87503,84.85611,253.19893,138.13338,337.2421,136.57007,241.93733,180.90726,337.5063,178.06825,240.78162,183.13356,307.99707,186.65158,264.55026,258.09973,309.04904,255.29585,266.19092,327.5304,311.9005,328.549,286.82352
7,2020-10-08 10:41:08.012247,46.200134,359.43112,41.28643,364.42096,39.709145,354.60687,41.046276,372.3904,38.207943,347.94852,81.99369,393.41446,83.84314,323.52942,137.3109,407.50204,135.7246,307.69455,183.17087,414.90494,175.52438,301.83115,183.87238,382.66928,187.75781,338.93683,256.6578,368.57748,257.56567,347.71198,327.40457,364.08167,327.2272,358.81076
8,2020-10-08 10:41:10.038510,46.810036,453.30115,39.877975,454.556,40.377186,448.9568,39.44928,447.74536,41.367447,439.29034,82.73143,479.54666,86.196075,412.47058,131.03429,490.89047,136.61554,400.9829,176.05858,498.34485,177.36108,401.74075,178.93991,476.51562,182.92654,433.158,247.7826,488.781,251.07133,434.6523,316.0612,492.97012,325.46448,429.78342
9,2020-10-08 10:41:12.004726,60.213245,546.8305,54.482838,550.2027,54.464695,541.4304,54.620148,556.4035,54.82394,532.64124,93.93463,572.8594,92.86275,520.62744,140.33124,586.9726,141.59639,512.75586,181.70612,595.5252,180.18549,512.6784,187.71057,574.45056,188.3344,535.7433,251.36096,560.7205,253.0621,526.64856,314.0052,555.9906,318.87762,512.3409
10,2020-10-08 10:41:14.044109,60.916225,549.6821,55.374405,553.6613,56.156864,544.86273,54.87709,557.8483,56.180912,533.0133,96.048035,573.1531,92.47987,522.78143,139.90685,585.5259,144.48083,515.02014,183.77165,592.5212,181.93228,515.4301,186.8368,572.4878,188.02335,538.07623,252.71625,559.62146,254.91525,528.8895,314.11975,555.1038,318.0848,524.1938
11,2020-10-08 10:41:16.037762,59.07617,551.67163,53.79849,555.02045,53.705734,544.6635,54.86312,557.4699,55.72268,533.73083,95.94404,573.39386,92.30275,522.4835,139.68561,586.7555,141.65025,515.6884,183.01764,593.67065,180.40625,515.70886,186.70242,571.23834,187.7395,538.2215,252.07408,560.3113,254.5379,528.5886,315.26974,552.32166,317.64706,537.72546
