,Datetime,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2020-10-08 10:38:52.037942,47.202614,292.5987,40.156864,298.90195,40.10165,286.2415,39.68574,309.75934,40.070866,276.9969,81.418976,330.7129,82.48379,262.1015,131.00923,343.19635,129.86263,252.12135,181.95268,344.50894,176.86702,249.33951,183.58383,318.51447,185.73439,275.21643,257.85034,314.06824,257.87866,273.1117,327.405,304.4285,327.5732,292.1079
2,2020-10-08 10:38:54.049417,46.772778,295.05823,40.93478,297.78436,40.83149,293.3238,42.310207,304.8852,41.16626,294.98856,79.60987,330.57843,82.17707,263.6221,128.04852,346.1297,127.351456,250.96349,181.37599,346.66873,173.67685,247.835,184.21309,319.44302,184.48325,273.02884,257.99533,311.50177,257.9193,270.8069,327.84314,295.84314,329.71436,269.2563
3,2020-10-08 10:38:56.023822,44.26256,296.66464,39.3074,301.0048,38.80739,292.2195,41.799908,310.10083,41.384018,283.05273,80.560104,330.6443,81.57211,261.85367,133.40157,341.84402,130.63297,250.99467,181.92844,340.9384,175.08165,248.96283,184.28363,319.42874,185.41176,275.13727,257.6803,316.90335,259.25137,271.04398,329.07217,316.65283,329.43793,272.31665
4,2020-10-08 10:38:58.024357,45.95756,294.6387,40.049778,298.45694,40.47261,291.0989,42.479706,306.79443,42.548283,282.83893,80.94066,330.65854,82.99922,261.0683,133.7507,342.3292,130.63644,250.92447,181.31694,341.53864,176.49236,250.32837,184.8498,319.9237,185.41176,275.92157,257.76938,316.90884,259.55704,271.40274,329.6558,317.07025,329.45648,272.50995
5,2020-10-08 10:39:00.004715,44.04534,295.3449,38.353798,298.13232,38.2838,292.1649,41.557785,302.72614,41.583,284.02374,80.60587,327.01227,82.15978,260.41507,132.96544,342.3768,130.4243,250.27376,181.63249,342.59183,175.02469,248.69524,184.17476,319.94232,186.58824,275.13727,257.44962,317.04935,259.73514,270.77887,329.28482,316.52655,329.18015,271.49478
6,2020-10-08 10:39:02.019413,44.877098,292.95123,38.78177,296.30917,39.198727,289.0667,41.937817,303.81088,41.79285,281.7156,80.93173,328.0122,82.24765,260.6204,131.40413,340.4949,135.76471,250.90196,181.08743,340.7706,177.06242,248.63028,184.14789,318.55542,184.47115,274.5195,258.1673,316.94025,259.13046,270.286,330.18414,317.03778,328.93787,271.4772
7,2020-10-08 10:39:04.000263,45.68281,353.15482,39.77538,358.0465,39.255814,348.0,40.0,366.0273,38.788376,339.50366,79.49397,387.56168,82.666664,319.2157,129.35085,403.6106,136.65524,304.41336,179.57095,408.77032,174.69005,294.29218,188.58461,374.6883,189.05354,329.55414,257.09894,367.17535,259.06052,317.18835,325.63535,365.71844,325.77588,313.35767
8,2020-10-08 10:39:06.043137,44.885235,445.27194,39.517746,447.44998,39.55067,441.49686,39.55936,445.83307,41.127113,431.69122,82.54458,473.97253,87.940384,405.12183,136.87354,485.87122,140.07843,394.5098,179.8513,495.5104,175.66595,400.34906,181.74203,470.17273,185.33583,426.22485,245.7501,483.79242,256.7656,419.2269,317.767,489.45584,323.28204,413.5689
9,2020-10-08 10:39:08.043704,73.10208,558.3188,67.4976,562.13275,66.82481,558.2949,61.7158,556.6187,58.706768,550.4373,96.78224,577.47394,91.8446,523.8826,143.36852,586.70215,143.37965,514.70917,182.8416,595.0824,177.9644,514.5544,185.08842,573.5439,186.23607,538.09924,248.0936,565.83185,250.24599,530.9663,314.78183,558.2228,317.2549,534.1961
10,2020-10-08 10:39:10.045859,55.217007,548.52496,49.51188,552.7315,49.098038,542.5098,52.007496,557.5297,52.490273,530.5099,93.2448,571.5587,91.341835,520.00024,139.01051,583.62256,141.21785,516.08093,182.99089,591.2844,183.186,521.4508,187.12735,570.9599,188.08398,538.34064,254.84512,558.7398,256.37347,527.36316,314.2309,556.8122,317.84216,525.9571
11,2020-10-08 10:39:12.027807,57.691406,547.45483,51.906948,552.05475,51.843136,542.1177,52.831264,558.1212,53.277885,531.08356,94.30058,571.9606,91.03644,520.98395,138.54973,584.84924,139.83357,515.34863,183.67256,590.2649,181.9504,520.5691,186.08708,570.1909,186.60336,538.1104,254.46358,558.74567,256.35785,528.0337,314.5045,556.26733,318.64752,525.8777
