,Datetime,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2020-10-08 10:43:54.641558,53.019608,298.19608,46.195602,303.5881,45.742146,292.028,42.43829,314.53943,41.299572,282.51093,85.712296,331.57413,88.34647,263.62485,132.90836,346.82767,137.62753,250.4345,180.04189,347.0307,179.14949,249.19254,182.53722,324.13312,184.97838,274.25323,259.98132,320.43295,255.00026,275.38583,324.2054,318.1998,327.91324,275.47122
2,2020-10-08 10:43:56.035282,47.306717,295.38324,41.776443,301.5014,41.783005,289.2838,43.913326,312.7849,44.04869,280.22537,83.357796,333.29898,85.4902,261.88235,135.53212,344.64487,137.7946,252.69046,182.29819,345.10413,179.9913,248.5892,184.08803,321.72437,186.88057,275.63467,257.70004,316.62213,259.17795,272.68057,326.44644,315.99146,328.71655,275.88464
3,2020-10-08 10:43:58.044262,47.141735,294.75592,41.333332,301.3333,41.14287,288.00006,43.09136,312.7346,43.553345,279.11844,83.25522,333.02957,85.09804,262.66666,135.88501,344.44366,136.61758,254.68634,181.90758,345.305,180.04622,249.98586,184.13846,321.40356,187.2844,276.50238,257.84326,317.27173,259.641,273.14175,325.98553,314.91653,328.36923,277.72092
4,2020-10-08 10:44:00.030486,47.507236,294.7478,42.09217,301.1692,42.00354,288.43988,43.327877,311.94574,43.7015,279.36176,83.31823,332.21872,83.84314,262.66666,136.84505,343.72754,136.98149,253.74416,182.86214,343.7471,180.66504,250.35722,184.33397,321.35248,187.67865,275.63928,258.63242,317.58743,259.43295,273.19772,326.42288,315.63416,328.53882,276.82446
5,2020-10-08 10:44:02.047102,47.87617,293.48694,41.91862,299.4761,41.75536,286.85114,42.888996,309.7659,43.742184,278.30283,82.72983,331.6703,85.01961,261.88235,135.63994,344.00003,136.23813,252.43393,182.36182,344.7676,180.89352,249.49803,183.75934,321.42096,186.95322,276.4492,258.36115,317.1221,260.21912,272.53986,326.1601,315.6705,328.62604,277.33994
6,2020-10-08 10:44:04.006733,48.85662,291.3921,42.789516,297.16608,42.72314,285.6225,44.046345,308.63458,44.320854,278.0672,83.200676,330.68927,85.01961,261.4902,136.80666,342.3174,138.54115,251.21014,182.29424,341.54776,183.63364,247.79932,185.98149,318.83212,189.40935,274.20258,258.7797,315.823,260.17883,271.92395,326.00528,315.93375,328.79813,277.09238
7,2020-10-08 10:44:06.024067,46.820267,356.97006,40.813538,363.54312,40.016647,351.23886,40.60664,371.85797,39.321655,343.65036,83.22791,391.43488,83.51904,322.24994,133.96219,404.94916,136.85194,308.21945,183.14928,409.98834,175.66345,301.17548,185.57639,379.26004,187.3925,336.7499,255.95584,368.8182,257.17648,344.15686,325.45422,367.99866,325.5594,337.03622
8,2020-10-08 10:44:08.009036,52.142376,473.09653,45.896267,475.5835,46.6383,468.66843,45.571766,475.32684,47.937405,457.44394,86.76669,498.9207,88.15686,434.35294,132.64879,511.51144,138.94783,423.16766,180.96614,519.5152,177.81197,421.33514,180.9108,499.37167,184.7252,454.62988,255.77396,510.72296,251.49635,450.33426,318.45685,518.9854,321.3481,438.07635
9,2020-10-08 10:44:10.042607,56.941177,554.9804,54.45886,558.3154,53.88506,548.0,56.665737,564.0383,56.356087,537.47675,96.09165,579.543,94.261406,526.9836,144.40425,591.71454,146.8157,518.92206,184.7559,600.6298,183.62871,518.21027,188.82861,577.8763,188.53429,540.06744,256.35526,563.56433,257.45883,525.68207,311.37637,562.1595,321.16574,512.107
10,2020-10-08 10:44:12.030758,59.62929,547.6753,54.01077,551.31934,54.395348,541.2488,54.22236,555.1946,56.667255,529.8337,94.95615,571.7435,93.64706,518.27454,140.34499,584.48425,145.51308,512.6732,186.32645,590.2562,183.87827,513.9283,187.70451,567.867,188.19324,534.3886,257.60623,559.1871,260.27402,520.13654,311.3873,561.75165,321.98495,513.23346
11,2020-10-08 10:44:14.031012,59.462734,549.313,53.68496,552.95496,54.65227,542.1419,54.54432,557.23315,57.767326,530.73016,95.177284,572.9918,93.83805,519.0769,140.74094,584.89624,144.39215,513.098,186.8126,591.1871,183.09047,514.21387,187.43584,568.444,187.75067,534.71295,256.99945,559.2171,259.8339,520.29333,310.71008,561.9397,321.95874,513.25916
