,Datetime,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2020-10-08 10:40:11.089523,47.253433,290.51917,40.725193,295.49387,41.450035,284.56918,40.923397,304.09598,42.225662,276.24164,82.99529,328.62695,85.001915,255.65155,135.33142,341.69525,138.11765,245.41176,179.20364,340.07272,183.19582,242.64317,186.70724,315.6148,189.73611,270.16983,258.1121,314.8345,257.6362,270.22842,326.44614,313.488,325.6626,275.3096
2,2020-10-08 10:40:13.041089,45.615116,293.98462,39.48599,298.34912,40.163216,288.00113,40.84906,305.19864,41.989166,282.01233,80.152306,324.5,83.5175,261.00217,135.8334,341.69873,134.58824,248.15686,180.89317,344.19962,178.42255,241.92279,185.2786,317.70416,186.11317,271.1684,257.62036,313.52026,256.7283,271.24066,328.06564,314.0635,327.02438,275.48984
3,2020-10-08 10:40:15.031649,47.2192,291.93976,41.254623,297.45807,41.655685,285.73206,41.4758,307.11703,42.701817,277.19653,81.3672,329.34467,83.58378,260.90848,137.18037,341.38507,134.58824,249.33333,182.25218,344.01813,177.55034,243.75104,186.2192,318.66147,187.81796,272.22037,258.0371,315.68637,256.74545,271.2752,326.70428,313.4725,326.0667,276.29922
4,2020-10-08 10:40:17.013999,45.176468,293.41177,40.59807,298.5201,41.292927,286.07227,40.833664,307.16183,42.893215,276.28036,82.111336,329.9486,84.781815,260.2387,135.0872,340.71637,135.8871,249.45358,181.35075,344.79004,178.64452,243.49332,185.16048,319.58783,187.71742,273.57895,258.3625,315.94324,257.14935,272.08484,325.79587,313.33215,326.22406,276.48822
5,2020-10-08 10:40:19.035844,47.210503,291.6067,40.976414,297.7353,41.356697,285.26755,41.609676,308.26587,42.739967,277.02344,81.53519,329.31882,83.83045,260.70892,134.98189,341.80765,136.94118,250.90196,181.957,345.0174,179.26738,244.10945,185.44994,319.93588,187.66019,272.75848,258.76846,315.95874,257.42725,271.3428,326.23108,312.85333,326.18314,277.036
6,2020-10-08 10:40:21.033930,46.97487,291.157,41.09696,296.9696,41.17606,285.3237,42.2792,308.00043,42.759346,278.37662,81.3069,329.76,83.72624,260.38965,135.05328,340.2252,135.76471,247.76471,181.82729,343.95148,177.69559,241.97899,186.75749,318.50937,188.22972,271.22836,257.881,315.55695,257.094,271.24747,326.73532,313.26154,325.774,276.26544
7,2020-10-08 10:40:23.046694,43.7758,359.9025,38.978466,365.8805,37.21405,354.29428,40.25412,374.79053,36.427197,347.16333,81.46197,393.85803,82.0916,324.80777,137.12486,408.5213,139.42616,306.43283,183.69044,417.3622,174.52588,298.50714,187.13347,378.9774,188.57428,338.204,256.7843,358.66666,256.7131,335.98126,324.26108,363.57968,325.94025,345.03775
8,2020-10-08 10:40:25.008557,43.10164,449.44843,38.385674,449.39047,38.03607,446.41882,38.270153,438.91623,40.3355,436.5831,82.435356,475.2259,88.94118,408.94116,134.71591,486.1383,143.83844,398.00708,176.0205,496.78256,186.91496,399.5193,185.38548,473.50272,189.2551,432.61163,249.74709,473.90326,250.3254,435.88284,319.5328,454.49313,322.09634,432.51306
9,2020-10-08 10:40:27.008784,66.45261,555.49567,60.53545,556.47186,60.26154,555.5105,56.57975,545.5882,57.27031,550.073,95.59239,573.3157,91.953636,520.9877,142.3892,584.68604,140.47058,511.92157,181.29953,594.4394,178.70084,513.18835,185.38812,572.9322,186.12831,534.3991,249.89459,560.1525,249.6778,527.61346,314.00665,552.09766,319.25165,514.21533
10,2020-10-08 10:40:29.019086,60.023514,547.94495,54.444645,551.769,54.613594,541.58215,54.373783,556.3371,56.054356,530.28156,95.47006,571.5411,92.47059,518.6667,142.87161,584.0287,142.69955,512.2575,185.24011,589.4829,181.3944,514.8595,186.37045,567.87115,187.94379,535.0833,253.9765,557.58734,253.98068,527.0044,315.2571,553.27563,318.06165,522.2154
11,2020-10-08 10:40:31.015121,61.197357,549.2922,55.70914,551.8504,55.63558,544.7564,54.858334,553.4903,56.35699,534.94714,95.58606,571.6311,92.93769,519.6498,142.91641,584.3911,142.03922,511.92157,186.28932,589.7854,181.63556,515.2185,186.11824,567.60925,187.19183,535.3216,253.99553,557.8582,253.96646,527.38525,315.7492,553.5187,318.52783,521.8293
