,Datetime,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2020-10-09 12:56:07.001838,57.404236,345.762,52.001266,344.3548,51.911644,349.12347,48.545006,330.89984,50.446396,348.52713,86.476036,369.99335,79.54536,300.8958,142.9276,379.93192,126.71907,280.00684,191.23637,376.84213,173.21251,274.40048,181.53159,343.47394,177.92532,303.6367,263.9999,338.3209,259.20642,301.40723,320.42737,338.49268,320.0,313.7255
2,2020-10-09 12:56:09.023030,46.415234,324.78754,40.446735,328.66254,41.460323,319.77744,40.76812,331.149,41.876225,308.38034,82.75675,355.2787,86.588234,286.43137,135.49364,369.77457,135.5287,271.0849,180.62724,374.75208,180.65875,268.09296,175.99423,338.28207,175.40033,298.42453,261.65475,335.76022,259.33405,299.26797,324.823,336.74005,328.7603,298.55313
3,2020-10-09 12:56:11.012310,45.070724,322.10355,39.090473,327.8278,39.734337,316.29144,41.068096,336.33624,42.561237,307.69012,82.15554,357.36887,85.01961,288.39215,135.95522,371.89514,132.14565,271.0935,180.47559,374.47363,177.03592,265.4816,174.7777,338.04486,174.12523,298.84314,259.9338,336.91217,261.50952,298.6906,325.0693,336.234,329.57742,298.75418
4,2020-10-09 12:56:13.028162,49.5333,323.99066,43.473343,330.3632,43.810505,318.54556,43.2269,336.96222,44.19877,309.30832,84.91111,357.89032,84.70588,289.9608,136.4113,370.24597,134.02162,273.59045,184.86668,370.96472,180.46333,270.18335,177.88264,338.26532,175.75739,298.2979,261.03384,336.98477,263.05298,298.47037,325.0109,336.9418,329.17493,299.28345
5,2020-10-09 12:56:15.047667,47.865597,321.9665,41.593853,326.9533,42.833393,316.84247,42.063995,334.80246,44.295227,308.32794,81.69274,357.03094,85.32907,287.2836,136.03397,372.4567,132.85701,271.2868,180.90347,374.48022,178.35419,266.8546,174.43207,338.8911,172.86275,299.29413,260.47818,337.1568,261.22845,299.08173,324.31546,336.89246,329.0281,298.44116
6,2020-10-09 12:56:17.006945,46.802555,324.81125,41.150482,328.62537,42.140327,319.50226,41.669167,333.03976,43.027325,309.55862,82.80028,356.80228,85.99238,286.83908,134.71841,369.66748,135.23927,272.2997,181.22772,372.28912,181.90573,269.47345,175.77365,338.70297,173.2549,297.7255,260.17743,336.9385,262.09378,299.38846,325.2096,335.9911,329.86026,298.93704
7,2020-10-09 12:56:19.014884,53.019608,307.92157,47.36101,312.75204,48.176857,301.52414,48.475605,321.69406,50.207596,293.59888,88.17339,342.2471,89.96895,279.54276,137.82721,357.79892,138.65694,263.4596,180.297,363.0582,182.03323,259.37857,182.1416,334.8684,180.9572,293.87616,259.224,336.83688,257.15958,291.39575,322.17953,337.89328,325.56863,294.30063
8,2020-10-09 12:56:21.039926,75.91771,333.01254,70.11504,338.2554,69.67021,329.9812,70.694336,349.46097,69.430984,325.04776,105.301575,364.13452,103.452934,308.29065,151.41776,377.99338,142.18709,294.2297,191.12367,378.65167,179.7388,289.15143,188.65773,347.62286,185.33333,311.7647,250.6701,342.77518,249.90016,304.29202,308.1259,342.12393,310.21777,302.57422
9,2020-10-09 12:56:23.022321,92.657684,309.9185,87.233536,308.3717,87.1617,311.1242,85.39715,302.53214,84.910355,313.69144,110.22584,336.218,116.63188,284.6842,151.29308,349.42303,154.0488,274.56903,187.17331,353.21835,190.39326,272.2816,187.04155,331.09055,188.3083,299.03983,242.37062,333.56314,243.38171,299.8024,298.49908,329.70395,297.80392,315.68628
10,2020-10-09 12:56:25.037767,93.99455,319.70935,88.62259,324.38092,89.00718,316.64386,87.7588,333.26816,87.19708,310.6382,116.75563,346.49823,117.52962,301.05548,155.01804,357.13672,151.57977,289.3771,189.58774,358.74963,184.76538,282.77423,186.91177,336.13046,184.81749,306.33466,245.60289,332.834,244.62762,306.6079,297.3383,329.28412,296.62744,319.2157
11,2020-10-09 12:56:27.006032,93.19242,325.5631,88.490746,329.5085,88.36731,320.6692,88.52799,334.689,87.40202,312.3151,115.70574,346.61075,117.34662,301.1686,153.93575,358.3806,151.98586,289.86038,189.02008,359.7027,184.65564,283.5368,187.13385,336.28998,185.41252,307.14005,244.01532,333.6126,242.86421,306.76782,297.363,323.74838,296.62744,321.56863
