,Datetime,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2020-10-14 13:14:30.403515,317,42,324,35,310,34,330,36,298,35,353,79,277,78,363,128,264,132,362,177,254,184,339,189,290,193,339,266,290,273,339,325,292,325,None
2,2020-10-14 13:14:31.092552,316,41,322,34,310,34,330,35,298,36,352,79,278,78,364,130,265,130,360,179,256,183,340,190,289,192,338,273,292,276,336,333,292,328,None
3,2020-10-14 13:14:32.028091,317,38,322,32,310,33,333,37,303,38,357,81,286,81,367,129,273,135,369,182,267,182,341,185,297,188,338,267,294,265,335,331,292,328,None
4,2020-10-14 13:14:33.043828,317,38,321,32,310,33,332,37,302,38,356,80,284,80,367,128,272,135,369,182,266,182,341,185,296,190,338,268,293,265,335,332,292,327,None
5,2020-10-14 13:14:34.041807,317,37,321,31,310,32,333,36,302,38,357,81,285,81,368,130,272,135,370,184,267,182,343,185,297,188,338,266,293,265,336,332,292,327,None
6,2020-10-14 13:14:35.016753,348,36,353,32,342,30,365,37,335,34,390,80,317,78,400,129,302,132,401,182,291,178,373,189,326,195,373,270,311,274,367,330,309,331,None
7,2020-10-14 13:14:36.033262,394,40,400,34,388,34,407,39,377,40,430,81,360,84,447,128,348,133,455,183,338,184,429,185,379,191,439,273,361,270,439,334,348,338,move left
8,2020-10-14 13:14:37.040466,454,39,460,34,448,33,466,40,437,40,487,81,420,83,502,129,410,134,513,182,407,183,486,191,438,194,496,262,434,271,497,326,429,334,move left
9,2020-10-14 13:14:38.039738,496,41,501,35,489,37,507,41,478,44,528,85,466,85,538,136,458,135,544,183,460,186,526,187,485,191,536,260,485,264,528,323,480,332,move left
10,2020-10-14 13:14:39.027220,534,48,541,45,528,44,546,49,519,49,561,91,506,89,587,145,496,138,574,194,493,184,555,194,516,193,542,270,504,268,539,326,492,333,move left
11,2020-10-14 13:14:40.039105,473,39,479,34,467,33,484,40,453,40,504,83,436,86,518,131,428,134,527,180,421,185,500,186,453,191,515,268,436,279,504,327,429,337,move right
12,2020-10-14 13:14:41.027103,448,39,454,34,440,33,460,41,428,38,479,89,407,86,491,140,393,137,495,201,400,190,467,190,419,194,480,279,380,275,461,339,0,0,None
13,2020-10-14 13:14:42.036885,346,17,354,11,338,10,366,20,329,17,388,72,307,68,397,126,294,122,401,186,284,181,366,192,306,189,367,267,280,265,359,345,278,340,move right
14,2020-10-14 13:14:43.048432,232,15,241,10,224,9,253,18,215,16,272,68,191,67,282,118,173,120,290,174,162,174,253,189,195,189,273,277,185,272,274,356,194,344,move right
15,2020-10-14 13:14:44.006930,147,23,155,16,142,17,170,25,136,22,184,72,112,72,190,123,93,122,197,182,74,173,162,182,102,178,179,276,101,268,193,346,114,342,move right
16,2020-10-14 13:14:45.013240,165,10,173,3,160,2,192,11,153,7,211,62,131,62,215,122,116,118,214,183,99,174,183,184,127,183,179,283,112,267,180,351,129,346,None
17,2020-10-14 13:14:46.028158,0,0,0,0,0,0,0,0,0,0,0,0,92,0,205,69,50,74,216,155,26,156,168,178,91,179,175,310,102,305,0,0,105,405,move right
18,2020-10-14 13:14:47.921230,282,134,0,0,279,129,0,0,269,126,248,144,270,145,0,0,281,175,0,0,0,0,250,196,270,195,0,0,0,0,0,0,0,0,move left
19,2020-10-14 13:14:48.027820,277,134,0,0,275,129,0,0,268,127,242,143,269,146,0,0,279,173,0,0,0,0,247,197,267,195,0,0,0,0,0,0,0,0,None
